시장명,지자체,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
청량종합도매시장(깡통시장),서울동대문구,제기동,상설장,56,매일,가공식품,Y,Y,37.58190857,127.0403105,16,2914,340094,116,1,2,1,1,1,1,1,100,1,1,2,2
회기시장,서울동대문구,회기동,상설장,64,매일,"농산물,음식점업,기타소매업",Y,Y,37.59097015,127.0549791,16,2914,340094,116,1,2,1,1,2,1,2,100,1,1,2,2
남성시장,서울동작구,사당2동,상설장,153,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.48816011,126.9815648,8,529,363808,687,1,2,1,1,1,1,1,100,1,1,2,2
남성역골목시장,서울동작구,사당4동,상설장,78,매일,"농산물,축산물,수산물,가공식품,기타소매업",N,Y,37.48297832,126.9723103,8,529,363808,687,1,2,1,1,2,2,2,100,1,2,2,2
본동인정시장,서울동작구,노량진1동,상설장,30,매일,"농산물,축산물,가공식품,가정용품",N,N,37.51223042,126.9518967,8,529,363808,687,1,2,1,1,2,2,2,100,2,2,2,2
사당시장,서울동작구,사당4동,상설장,18,매일,"음식점업,근린생활서비스업",Y,Y,37.48288276,126.9753375,8,529,363808,687,1,1,1,1,1,1,1,100,1,1,2,2
상도전통시장,서울동작구,상도1동,상설장,73,매일,"축산물,수산물,음식점업,기타소매업",Y,Y,37.49967693,126.951537,8,529,363808,687,1,2,1,1,2,2,2,100,2,1,2,2
성대시장,서울동작구,상도3동,상설장,43,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.4999427,126.9317763,8,529,363808,687,1,2,1,1,1,1,1,80,1,1,2,2
성대전통시장,서울동작구,상도3동,상설장,104,매일,"농산물,축산물,수산물,가공식품,기타소매업",Y,Y,37.49921775,126.9308567,8,529,363808,687,1,1,1,1,2,2,2,100,1,1,2,2
공덕시장,서울마포구,공덕동,상설장,170,매일,"농산물,축산물,기타소매업",Y,N,37.54479479,126.9532582,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,2,2
동진시장,서울마포구,연남동,상설장,19,매일,"기타소매업,근린생활서비스업",Y,N,37.56237655,126.9267634,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,2,2
마포농수산물시장,서울마포구,성산2동,상설장,121,매일,"농산물,축산물,수산물,가공식품",Y,Y,37.56519935,126.8984828,9,803,344331,428,1,1,1,1,1,1,1,100,1,1,1,1
마포시장,서울마포구,공덕동,상설장,90,매일,"농산물,가공식품,기타소매업",Y,N,37.54539208,126.9533186,9,803,344331,428,1,1,1,1,1,1,1,90,1,1,2,2
