,지자체,시장명,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률
737,강원영월군,서부공설시장,법적단체,39,41,0.951219512
738,강원영월군,서부아침시장,법적단체,25,27,0.925925926
739,강원영월군,영월종합상가시장,법적단체,87,87,1
740,강원원주시,문막시장,법적단체,50,71,0.704225352
741,강원원주시,미로예술원주중앙시장(원주중앙시장),법적단체,289,597,0.484087102
742,강원원주시,민속풍물시장,법적단체,103,103,1
743,강원원주시,북원상가시장,법적단체,80,141,0.567375887
744,강원원주시,원주남부시장,법적단체,130,205,0.634146341
745,강원원주시,자유시장,법적단체,405,449,0.902004454
746,강원원주시,중앙시민전통시장,법적단체,78,80,0.975
747,강원인제군,원통시장,법적단체,30,63,0.476190476
748,강원인제군,인제시장,법적단체,56,118,0.474576271
749,강원정선군,고한구공탄시장(고한시장),법적단체,82,85,0.964705882
750,강원정선군,임계사통팔달시장,법적단체,63,68,0.926470588
751,강원정선군,정선사북시장,법적단체,61,69,0.884057971
752,강원정선군,정선아리랑시장,법적단체,169,170,0.994117647
753,강원철원군,동송시장,법적단체,35,39,0.897435897
754,강원철원군,동송전통시장,법적단체,130,142,0.915492958
755,강원철원군,신철원시장,법적단체,55,62,0.887096774
756,강원철원군,와수시장,법적단체,96,104,0.923076923
757,강원춘천시,제일종합시장,법적단체,180,244,0.737704918
758,강원춘천시,춘천남부시장,법적단체,35,56,0.625
759,강원춘천시,춘천동부시장,법적단체,110,131,0.839694656
760,강원춘천시,춘천번개시장,법적단체,39,54,0.722222222
761,강원춘천시,춘천서부시장,법적단체,0,311,0
762,강원춘천시,춘천중앙시장,법적단체,53,200,0.265
763,강원춘천시,춘천풍물시장,법적단체,143,143,1
764,강원춘천시,춘천후평시장,법적단체,66,67,0.985074627
765,강원태백시,장성중앙시장,법적단체,45,47,0.957446809
766,강원태백시,황지자유시장,법적단체,144,146,0.98630137
767,강원평창군,봉평전통시장(봉평시장),법적단체,57,57,1
768,강원평창군,진부전통시장,법적단체,103,105,0.980952381
769,강원평창군,평창대화시장,법적단체,43,96,0.447916667
770,강원평창군,평창올림픽시장(평창전통시장),법적단체,69,90,0.766666667
771,강원홍천군,홍천시장,법적단체,90,121,0.743801653
772,강원홍천군,홍천중앙시장,법적단체,90,108,0.833333333
773,강원화천군,화천재래시장,법적단체,96,97,0.989690722
774,강원횡성군,횡성시장,법적단체,125,133,0.939849624
775,충북괴산군,괴산전통시장,법적단체,151,151,1
776,충북괴산군,목도재래시장,법적단체,46,66,0.696969697
777,충북괴산군,청천전통시장,법적단체,77,110,0.7
778,충북단양군,단양구경시장(단양인정시장),법적단체,118,120,0.983333333
779,충북단양군,매포전통시장(매포재래시장),법적단체,51,62,0.822580645
780,충북보은군,보은전통시장,법적단체,35,49,0.714285714
781,충북보은군,결초보은시장(구 보은종합시장),법적단체,46,113,0.407079646
782,충북영동군,영동전통시장,법적단체,160,174,0.91954023
783,충북영동군,영동중앙시장,법적단체,44,95,0.463157895
784,충북옥천군,옥천공설시장,법적단체,23,40,0.575
785,충북옥천군,옥천상가,법적단체,40,54,0.740740741
786,충북음성군,감곡시장,법적단체,61,65,0.938461538
787,충북음성군,대소시장,법적단체,130,137,0.948905109
788,충북음성군,삼성시장,법적단체,66,78,0.846153846
789,충북음성군,무극시장,법적단체,78,119,0.655462185
790,충북음성군,음성시장,법적단체,165,200,0.825
791,충북제천시,내토전통시장,법적단체,56,60,0.933333333
792,충북제천시,덕산면전통시장,법적단체,30,54,0.555555556
793,충북제천시,동문전통시장,법적단체,49,53,0.924528302
794,충북제천시,박달재전통시장,법적단체,25,41,0.609756098
795,충북제천시,제천약초시장,법적단체,50,63,0.793650794
796,충북제천시,제천역전한마음시장,법적단체,68,71,0.957746479
797,충북제천시,제천중앙시장,법적단체,285,707,0.40311174
798,충북증평군,증평장뜰재래시장,법적단체,90,92,0.97826087
799,충북진천군,운수대통! 생거진천전통시장,법적단체,69,73,0.945205479
800,충북진천군,진천중앙시장,법적단체,53,53,1
801,충북청주시,가경터미널시장,법적단체,81,81,1
802,충북청주시,밤고개자연시장(구 내덕자연시장),법적단체,48,48,1
803,충북청주시,내수전통시장,법적단체,55,80,0.6875
804,충북청주시,복대가경시장,법적단체,84,84,1
805,충북청주시,북부시장,법적단체,133,146,0.910958904
806,충북청주시,사직시장,법적단체,47,56,0.839285714
807,충북청주시,서문시장,법적단체,72,76,0.947368421
808,충북청주시,오창전통시장,법적단체,93,99,0.939393939
