시장명,지자체,행정동명,위치위도,위치경도,상점수,가맹점수,가맹률
구미종합상가,경북구미시,원평동,36.13051139,128.3304388,60,10,16.66666667
구미파크시장,경북구미시,도량동,36.14936026,128.3254714,30,6,20
구서오시게시장,부산금정구,구서1동,35.24735756,129.0897741,93,56,60.21505376
구암시장,경남창원시,구암2동,35.24953898,128.5996435,60,14,23.33333333
구암현대시장,경남창원시,구암1동,35.24823512,128.5907276,55,20,36.36363636
구역전시장,울산중구,학성동,35.55730008,129.3284132,81,178,219.7530864
구월도매전통시장,인천남동구,구월3동,37.44324579,126.7052205,77,61,79.22077922
구월시장,인천남동구,구월4동,37.4528675,126.7204956,145,119,82.06896552
구포축산물도매시장,부산북구,구포2동,35.19619458,128.9892003,205,103,50.24390244
국민시장,부산동래구,사직2동,35.19840108,129.0582333,78,37,47.43589744
군산공설시장,전북군산시,중앙동,35.98317106,126.7203245,285,186,65.26315789
군산수산물종합센터,전북군산시,해신동,35.99398528,126.7047418,150,95,63.33333333
군산신영시장,전북군산시,중앙동,35.98561509,126.72012,82,68,82.92682927
군산주공시장,전북군산시,나운1동,35.9657729,126.6954398,43,73,169.7674419
굴비골영광시장(구 영광매일시장),전남영광군,영광읍,35.27512831,126.5123229,65,26,40
권선종합시장,경기수원시,권선1동,37.25609894,127.0245796,109,59,54.12844037
금광시장,경기성남시,금광2동,37.45003252,127.1599062,22,4,18.18181818
금남시장,서울성동구,금호2.3가동,37.54862725,127.0230332,104,78,75
금사제일상가시장,부산금정구,금사회동동,35.22043665,129.1124628,32,1,3.125
금산인삼전통시장,충남금산군,금산읍,36.10045936,127.4921845,69,1,1.449275362
금성상가시장,부산동래구,온천2동,35.20817586,129.0719427,14,14,100
금오시장,경북구미시,원평동,36.12611188,128.3406025,258,1,0.387596899
금촌명동로시장,경기파주시,금촌1동,37.76330449,126.7733603,80,37,46.25
금촌문화로시장,경기파주시,금촌1동,37.76224813,126.7748779,116,74,63.79310345
금촌전통시장,경기파주시,금촌1동,37.76261525,126.7738771,98,94,95.91836735
금호공설시장,경북영천시,금호읍,35.93166871,128.8733581,43,18,41.86046512
금호행복시장(금호시장),경기성남시,수내1동,37.37666085,127.1162393,166,125,75.30120482
기장시장,부산기장군,기장읍,35.24406017,129.215363,149,155,104.0268456
길동복조리시장,서울강동구,길동,37.53753608,127.1435606,166,156,93.97590361
길음시장,서울성북구,길음1동,37.60278063,127.021592,138,54,39.13043478
김제전통시장,전북김제시,요촌동,35.80162083,126.8837192,75,68,90.66666667
김해전통시장(김해동상시장),경남김해시,동상동,35.23623779,128.8838588,170,119,70
까치산시장,서울강서구,화곡8동,37.53153099,126.8478603,138,112,81.15942029
남광시장,부산남구,대연4동,35.12392263,129.0887175,57,28,49.12280702
남광주시장,광주동구,학동,35.13929961,126.9208104,220,181,82.27272727
남광주해뜨는시장,광주동구,학동,35.13896306,126.9212522,61,39,63.93442623
남구로시장,서울구로구,구로2동,37.49020847,126.8864324,184,172,93.47826087
남대문시장,서울중구,회현동,37.55918636,126.9776537,5400,757,14.01851852
남동산업용품상가,인천남동구,논현고잔동,37.40694648,126.693402,620,13,2.096774194
남목전통시장,울산동구,남목3동,35.54272388,129.4273867,121,103,85.12396694
남부골목시장,서울강서구,화곡4동,37.5322382,126.8607298,153,152,99.34640523
남부시장,대구남구,대명1동,35.84140252,128.5769294,93,20,21.50537634
남부시장,경북포항시,상대동,36.01262688,129.3561426,52,20,38.46153846
남부종합시장,서울서초구,방배본동,37.49499219,126.9848056,134,1,0.746268657
남원공설시장,전북남원시,금동,35.40461666,127.3758683,135,121,89.62962963
남원인월시장,전북남원시,인월면,35.46153231,127.6020919,45,25,55.55555556
남창옹기종기시장,울산울주군,온양읍,35.41668686,129.2827813,21,178,847.6190476
남천해변시장,부산수영구,남천1동,35.13915613,129.1090408,160,76,47.5
남평5일시장,전남나주시,남평읍,35.04582181,126.8415403,42,27,64.28571429
남평화시장,서울중구,신당동,37.5691712,127.010836,500,18,3.6
남포동건어물도매시장,부산중구,남포동,35.09683833,129.0347275,127,124,97.63779528
남항시장,부산영도구,영선1동,35.08890761,129.0422626,252,213,84.52380952
내수전통시장,충북청주시,내수읍,36.72626729,127.5360081,80,46,57.5
내토전통시장,충북제천시,중앙동,37.13735446,128.2124103,60,66,110
녹동전통시장,전남고흥군,도양읍,34.52787725,127.1383371,72,65,90.27777778
논공중앙시장,대구달성군,논공읍,35.72840144,128.4465752,60,14,23.33333333
능주전통시장,전남화순군,능주면,34.99091444,126.9593707,48,22,45.83333333
단계시장,경남산청군,신등면,35.37711924,128.011143,24,5,20.83333333
단양구경시장(단양인정시장),충북단양군,단양읍,36.98249125,128.3699808,120,109,90.83333333
달서송림시장,대구달서구,본동,35.83686121,128.5470721,45,1,2.222222222
달서시장,대구달서구,본리동,35.84019458,128.5442419,215,161,74.88372093
답십리시장,서울동대문구,답십리2동,37.57319423,127.0580659,56,27,48.21428571
답십리현대시장,서울동대문구,답십리2동,37.5667821,127.0586488,101,46,45.54455446
당감골목시장,부산부산진구,당감1동,35.16328299,129.0408703,125,81,64.8
당감새시장,부산부산진구,당감1동,35.16506067,129.0421399,121,100,82.6446281
당감시장,부산부산진구,당감1동,35.16391095,129.0418361,43,7,16.27906977
당리시장,부산사하구,당리동,35.10546653,128.9753522,52,7,13.46153846
당진전통시장,충남당진시,당진1동,36.88993079,126.6296071,218,140,64.22018349
대곡시장,대구달서구,도원동,35.80758305,128.5354588,77,28,36.36363636
대곡시장,경남진주시,대곡면,35.26370062,128.1685559,15,28,186.6666667
대구능금시장,대구북구,칠성동,35.87714991,128.6019681,136,134,98.52941176
대구예전우시장,대구달서구,두류1.2동,35.85853624,128.5620318,56,39,69.64285714
대구청과시장,대구북구,칠성동,35.87702959,128.6039134,116,66,56.89655172
대동그린코아상가,경남창원시,반송동,35.24497351,128.6698901,72,17,23.61111111
대동씨코아상가시장,경남창원시,월영동,35.1797591,128.5624756,120,16,13.33333333
대동중앙상가,경남창원시,팔룡동,35.25360735,128.6158353,41,14,34.14634146
대림골목시장,서울은평구,응암3동,37.58791373,126.9175082,76,69,90.78947368
대림시장,서울은평구,응암3동,37.58653706,126.9175785,65,51,78.46153846
대림중앙시장,서울영등포구,대림2동,37.49038353,126.9012678,91,62,68.13186813
대명시장,대구남구,대명3동,35.85840896,128.5771651,131,91,69.46564885
