지자체,시장명,배송서비스,장보기서비스
대전동구,용운시장,1,1
대전동구,원동국제시장,1,1
대전동구,인동시장,1,1
대전동구,자유도매시장,1,1
대전동구,전통중앙도매상가,1,1
대전동구,중앙도매시장,1,1
대전동구,중앙메가프라자,1,1
대전동구,중앙상가시장,1,1
대전동구,중앙종합시장,1,1
대전서구,도마큰시장,1,1
대전서구,한민시장,1,1
대전유성구,송강시장,1,1
대전유성구,유성시장,1,1
대전중구,문창전통시장,1,1
대전중구,부사전통시장,1,1
대전중구,산성전통시장,1,1
대전중구,오류전통시장,1,1
대전중구,태평전통시장,1,1
울산남구,(주)신정시장,1,1
울산남구,(주)야음시장,1,1
울산남구,수암상가시장,1,1
울산남구,수암종합시장,1,1
울산남구,신정상가시장,0,1
울산남구,신정평화시장,1,1
울산남구,야음상가시장,1,1
울산남구,울산번개시장,1,1
울산남구,울산산업공구월드,1,1
울산동구,남목전통시장,1,1
울산동구,대송농수산물시장,1,1
울산동구,동울산종합시장,1,1
울산동구,월봉시장,1,1
울산북구,신전시장(염포시장),1,1
울산북구,코끼리시장,1,1
울산북구,호계공설시장,1,1
울산북구,화봉시장(화봉종합시장),1,1
울산울주군,곡천공설시장,1,1
울산울주군,남창옹기종기시장,1,1
울산울주군,덕신1차시장,1,1
울산울주군,덕신2차시장,1,1
울산울주군,덕하시장(덕하공설시장),1,1
울산울주군,봉계공설시장,1,1
울산울주군,언양공설시장,1,1
울산울주군,언양종합상가시장,1,1
울산중구,구역전시장,1,1
울산중구,구역전전통시장,1,1
울산중구,반구시장,1,1
울산중구,병영시장,1,1
울산중구,서동시장,1,1
울산중구,선우시장,1,1
울산중구,성남프라자,1,1
울산중구,신울산종합시장,1,1
울산중구,옥골시장,1,1
울산중구,울산시장,1,1
울산중구,중앙전통시장,1,1
울산중구,태화종합시장,0,0
울산중구,학성새벽시장,0,1
울산중구,우정전통시장,1,1
경기가평군,가평잣고을전통시장,1,1
경기가평군,가평정기5일시장,1,1
경기가평군,미원정기5일시장,1,1
경기가평군,청평5일시장,1,1
경기가평군,현리정기5일시장,1,1
경기고양시,능곡전통시장,1,1
경기고양시,덕이동패션1번지,1,1
경기고양시,원당전통시장,0,1
경기고양시,일산전통시장,1,1
경기과천시,과천새서울프라자시장,1,1
경기과천시,제일쇼핑시장,1,1
경기광명시,광명새마을시장,1,1
경기광명시,광명전통시장,0,1
경기광주시,경안시장,1,1
경기구리시,구리전통시장,1,0
경기군포시,군포역전시장,1,1
경기군포시,산본시장,0,1
경기김포시,김포5일장,1,1
경기김포시,양곡5일장,1,1
경기김포시,양곡시장,1,1
경기김포시,양곡오라니장터시장,1,1
경기김포시,통진5일장(마송5일장),1,1
경기김포시,통진시장,1,1
경기김포시,하성5일장,1,1
경기남양주시,마석5일장,1,1
경기남양주시,장현5일장,1,1
경기남양주시,남양주장현 전통시장,1,1
경기동두천시,동두천제일시장,1,1
경기동두천시,동두천큰시장,0,1
경기동두천시,세아프라자상가,1,1
경기동두천시,중앙시장,1,1
경기부천시,강남시장,1,1
경기부천시,고리울동굴시장,1,1
경기부천시,부천상동시장,1,1
부산동구,부산자유시장,1,1
경기부천시,부천제일시장,1,1
경기부천시,중동사랑시장(부천중동시장),1,0
경기부천시,부천한신시장,1,1
경기부천시,소사종합시장,1,1
경기부천시,신흥시장,1,1
경기부천시,역곡남부시장,1,1
경기부천시,역곡상상시장(역곡북부시장),1,1
경기부천시,오정시장,1,1
경기부천시,원미종합시장,1,1
경기부천시,원종종합시장,1,1
경기부천시,원종중앙시장,1,1
경기부천시,조공시장,1,1
경기성남시,금광시장,1,1
경기성남시,금호시장,1,1
경기성남시,단대전통시장,0,1
경기성남시,돌고래시장,1,1
경기성남시,동신종합시장,1,1
경기성남시,모란민속5일장,1,1
경기성남시,모란종합시장,1,1
경기성남시,미래그린시장,1,1
경기성남시,미래타운제2종합시장,1,1
경기성남시,분당우성시장,1,1
경기성남시,상대원시장,1,1
경기성남시,성남남한산성시장(은행골목시장),1,1
경기성남시,성호시장,1,1
경기성남시,은행시장,1,1
경기성남시,코끼리시장,1,1
경기성남시,코코프라자시장,1,1
경기성남시,하대원공설시장,1,1
경기성남시,현대시장,1,1
경기성남시,현대시장(분당),1,1
경기성남시,모란가축시장,1,1
경기성남시,미금현대벤처빌시장,1,1
경기성남시,범한프라자시장,1,1
경기성남시,청구문화시장,1,1
경기수원시,구매탄시장,1,1
경기수원시,구천동공구상가,1,1
경기수원시,권선종합시장,1,1
경기수원시,남문로데오시장,1,1
경기수원시,남문패션1번가시장,1,1
경기수원시,매산시장,1,1
경기수원시,못골종합시장,1,1
경기수원시,미나리광시장,0,1
경기수원시,북수원시장,0,1
경기수원시,시민상가시장,1,1
경기수원시,역전시장,1,1
경기수원시,연무시장,1,1
경기수원시,영동시장,1,1
경기수원시,장안문거북시장,1,1
경기수원시,정자시장,1,1
경기수원시,조원시장,1,1
경기수원시,지동시장,1,1
경기수원시,팔달문시장,1,1
경기수원시,화서시장,1,1
경기시흥시,시흥삼미시장,1,1
경기시흥시,정왕시장,1,1
경기시흥시,도일시장,1,1
경기안산시,스타프라자전통시장,1,1
경기안산시,신안코아,1,1
경기안산시,신안프라자전통시장,1,1
경기안산시,안산시시민시장,1,1
경기안산시,월드프라자,1,1
경기안성시,안성맞춤시장,1,1
경기안성시,일죽시장,1,1
경기안성시,죽산시장,1,1
경기안성시,중앙시장,1,1
경기안양시,박달시장,1,1
경기안양시,석수시장,1,1
경기안양시,안양관양시장,1,1
경기안양시,안양남부시장,1,1
경기안양시,안양중앙인정시장,1,1
경기안양시,안양호계종합시장,1,1
경기안양시,중앙시장,1,1
경기양평군,양수리전통시장(양평양수리시장),1,1
경기양평군,양평물맑은시장,1,1
경기양평군,용문천년시장,1,1
경기여주시,가남시장,1,1
경기연천군,전곡5일장,1,1
경기연천군,전곡재래시장,1,1
경기오산시,오색시장,0,1
경기용인시,백암5일장,1,1
경기용인시,용인중앙시장,1,1
경기용인시,죽전로데오상점가전통시장,1,1
경기의왕시,부곡도깨비시장,1,1
경기의정부시,의정부제일시장,0,1
경기의정부시,의정부청과야채시장,1,1
경기이천시,관고전통시장,1,1
경기이천시,사기막골도자기시장,1,1
경기이천시,장호원전통시장,1,1
경기파주시,광탄시장,1,1
경기파주시,금촌명동로시장,1,1
경기파주시,금촌문화로시장,1,1
경기파주시,금촌전통시장,1,1
경기부천시,부천자유시장,1,1
경기파주시,적성전통시장,1,1
경기평택시,서정리시장,1,1
경기평택시,송탄시장,1,1
경기평택시,안중시장,1,1
경기평택시,중앙시장,1,1
경기평택시,통복시장,1,1
경기포천시,신읍5일장,1,1
경기포천시,운천전통시장,1,1
경기포천시,일동전통시장,1,1
경기하남시,덕풍전통시장,1,1
경기하남시,신장전통시장,0,0
경기화성시,남양시장,1,1
경기화성시,발안시장,1,1
경기화성시,사강시장,1,1
경기화성시,조암시장,1,1
강원강릉시,강릉동부시장,1,1
강원강릉시,강릉서부시장,1,1
강원강릉시,강릉성남시장,1,1
강원강릉시,주문진건어물시장,1,1
강원강릉시,주문진수산시장,1,1
강원강릉시,주문진종합시장,1,1
강원강릉시,중앙시장,1,1
강원고성군,간성시장(천년고성시장),1,1
강원고성군,거진시장,1,1
강원동해시,동쪽바다중앙시장,1,1
강원동해시,동해남부재래시장,1,1
강원동해시,묵호시장,1,1
강원동해시,북평민속시장,1,1
강원삼척시,삼척번개시장,1,1
강원삼척시,삼척중앙시장,1,1
강원속초시,속초종합중앙시장,1,1
강원속초시,속초중앙전통시장(속초관광수산시장),1,1
강원양구군,양구중앙시장,1,1
강원양양군,양양전통시장,1,1
강원영월군,서부공설시장,1,1
