시장명,지자체,시도명,시군구명,시군구명_원본,행정동코드,행정동명,도로명주소코드,도로명주소명,우편번호,격자코드,위치경도,위치위도
창동골목시장,서울도봉구,서울,도봉구,도봉구,1132051300,창3동,1.13E+11,서울 도봉구 덕릉로58길 16,1473,다사593599,127.0391454,37.63840117
창동신창시장,서울도봉구,서울,도봉구,도봉구,1132051200,창2동,1.13E+11,서울 도봉구 덕릉로57길 17,1471,다사591600,127.0374555,37.63943514
경동광성상가,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 고산자로 464,2571,다사592536,127.0388095,37.58099105
경동시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 왕산로 147,2571,다사593533,127.0396587,37.57878423
답십리시장,서울동대문구,서울,동대문구,동대문구,1123061000,답십리2동,1.12E+11,서울 동대문구 답십리로51길 3-10,2538,다사609527,127.0580659,37.57319423
답십리현대시장,서울동대문구,서울,동대문구,동대문구,1123061000,답십리2동,1.12E+11,서울 동대문구 전농로4길 38,2620,다사610520,127.0586488,37.5667821
동부시장,서울동대문구,서울,동대문구,동대문구,1123060000,답십리1동,1.12E+11,서울 동대문구 천호대로 281,2604,다사604521,127.0522092,37.56757575
동서시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 왕산로33길 13,2572,다사594534,127.0412215,37.57972596
서울약령시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 약령중앙로 26,2570,다사591535,127.0375866,37.58060041
전농로터리시장,서울동대문구,서울,동대문구,동대문구,1123056000,전농1동,1.12E+11,서울 동대문구 전농로15길 7,2547,다사608532,127.0570279,37.57814435
청량리농수산물시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 경동시장로 21,2571,다사594536,127.0404057,37.58094844
청량리수산시장,서울동대문구,서울,동대문구,동대문구,1123053600,용신동,1.12E+11,서울 동대문구 고산자로34길 48,2560,다사594532,127.0409508,37.57807282
청량리전통시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 경동시장로8길 30,2572,다사595535,127.0423256,37.58088659
청량리종합시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 경동시장로 3-1,2571,다사594534,127.0408575,37.57933848
청량리청과물시장,서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 경동시장로 7,2571,다사594534,127.040684,37.57959
청량종합도매시장(깡통시장),서울동대문구,서울,동대문구,동대문구,1123054500,제기동,1.12E+11,서울 동대문구 경동시장로9가길 16,2571,다사594537,127.0403105,37.58190857
회기시장,서울동대문구,서울,동대문구,동대문구,1123071000,회기동,1.12E+11,서울 동대문구 회기로25길 11,2452,다사607547,127.0549791,37.59097015
강남시장,서울동작구,서울,동작구,동작구,1159053000,상도1동,1.16E+11,서울 동작구 상도로 357,6978,다사516443,126.9535408,37.49693976
남성시장,서울동작구,서울,동작구,동작구,1159063000,사당2동,1.16E+11,서울 동작구 동작대로29길 8,6997,다사541433,126.9815648,37.48816011
남성역골목시장,서울동작구,서울,동작구,동작구,1159065000,사당4동,1.16E+11,서울 동작구 사당로16가길 19,7010,다사533427,126.9723103,37.48297832
본동인정시장,서울동작구,서울,동작구,동작구,1159051000,노량진1동,1.16E+11,서울 동작구 매봉로 177,6916,다사515460,126.9518967,37.51223042
사당시장,서울동작구,서울,동작구,동작구,1159065000,사당4동,1.16E+11,서울 동작구 사당로 244,7011,다사536427,126.9753375,37.48288276
상도전통시장,서울동작구,서울,동작구,동작구,1159053000,상도1동,1.16E+11,서울 동작구 상도로47길 8,6971,다사515446,126.951537,37.49967693
성대시장,서울동작구,서울,동작구,동작구,1159055000,상도3동,1.16E+11,서울 동작구 상도로 102,7041,다사497446,126.9317763,37.4999427
성대전통시장,서울동작구,서울,동작구,동작구,1159055000,상도3동,1.16E+11,서울 동작구 국사봉1길 41,7041,다사496445,126.9308567,37.49921775
공덕시장,서울마포구,서울,마포구,마포구,1144056500,공덕동,1.11E+11,서울 마포구 만리재로 19,4214,다사517496,126.9532582,37.54479479
동진시장,서울마포구,서울,마포구,마포구,1144071000,연남동,1.14E+11,서울 마포구 성미산로 198,3982,다사493516,126.9267634,37.56237655
마포농수산물시장,서울마포구,서울,마포구,마포구,1144073000,성산2동,1.14E+11,서울 마포구 월드컵로 235,3901,다사468519,126.8984828,37.56519935
마포시장,서울마포구,서울,마포구,마포구,1144056500,공덕동,1.14E+11,서울 마포구 마포대로6길 16,4214,다사517497,126.9533186,37.54539208
망원동월드컵시장,서울마포구,서울,마포구,마포구,1144070000,망원2동,1.14E+11,서울 마포구 망원로7길 31,3964,다사474512,126.9050809,37.55873145
망원시장,서울마포구,서울,마포구,마포구,1144069000,망원1동,1.14E+11,서울 마포구 망원로8길 7,4011,다사475510,126.9059941,37.55715742
서교시장,서울마포구,서울,마포구,마포구,1144066000,서교동,1.14E+11,서울 마포구 홍익로3길 20,4039,다사489506,126.9217154,37.55351606
아현시장,서울마포구,서울,마포구,마포구,1144055500,아현동,1.14E+11,서울 마포구 굴레방로7길 8,4116,다사518509,126.9550808,37.55640684
영진시장,서울마포구,서울,마포구,마포구,1144066000,서교동,1.14E+11,서울 마포구 동교로12길 21,4029,다사481506,126.9126921,37.55346487
백련시장,서울서대문구,서울,서대문구,서대문구,1141070000,남가좌2동,1.14E+11,서울 서대문구 가재울로6길 53-87,3692,다사490532,126.923101,37.57700143
연희사러가,서울서대문구,서울,서대문구,서대문구,1141061500,연희동,1.14E+11,서울 서대문구 연희맛로 23,3707,다사496521,126.9296612,37.56715459
영천시장,서울서대문구,서울,서대문구,서대문구,1141052000,천연동,1.11E+11,서울 서대문구 통일로 189-1,3734,다사524524,126.9618663,37.57034953
유진상가,서울서대문구,서울,서대문구,서대문구,1141064000,홍제3동,1.11E+11,서울 서대문구 통일로 484,3628,다사508548,126.9430423,37.59163153
인왕시장,서울서대문구,서울,서대문구,서대문구,1141064000,홍제3동,1.14E+11,서울 서대문구 인왕시장길 24,3628,다사508547,126.9433194,37.59121811
남부종합시장,서울서초구,서울,서초구,서초구,1165059000,방배본동,1.17E+11,서울 서초구 방배중앙로27길 17,6555,다사544440,126.9848056,37.49499219
양재시장,서울서초구,서울,서초구,서초구,1165065100,양재1동,1.17E+11,서울 서초구 남부순환로356길 15,6738,다사591428,127.037966,37.48431085
금남시장,서울성동구,서울,성동구,성동구,1120061500,금호2.3가동,1.12E+11,서울 성동구 금호산2길 32,4730,다사578500,127.0230332,37.54862725
뚝도시장,서울성동구,서울,성동구,성동구,1120067000,성수2가1동,1.12E+11,서울 성동구 성수이로 32-15,4776,다사606488,127.054827,37.53780064
마장축산물시장,서울성동구,서울,성동구,성동구,1120054000,마장동,1.12E+11,서울 성동구 마장로35길 68,4752,다사594524,127.0412753,37.57068248
용답상가시장,서울성동구,서울,성동구,성동구,1120079000,용답동,1.12E+11,서울 성동구 용답중앙길 59,4804,다사604517,127.0525388,37.56416885
길음시장,서울성북구,서울,성북구,성북구,1129066000,길음1동,1.13E+11,서울 성북구 동소문로 227,2721,다사577560,127.021592,37.60278063
돈암시장,서울성북구,서울,성북구,성북구,1129055500,삼선동,1.13E+11,서울 성북구 동소문로18길 12-3,2846,다사572548,127.0157124,37.5916663
돌곶이시장(구 석관황금시장),서울성북구,서울,성북구,성북구,1129081000,석관동,1.13E+11,서울 성북구 한천로73길 33,2784,다사613567,127.0616578,37.60950239
장위전통시장,서울성북구,서울,성북구,성북구,1129077000,장위2동,1.13E+11,서울 성북구 화랑로19가길 20-24,2769,다사604568,127.0513393,37.61033453
정릉시장,서울성북구,서울,성북구,성북구,1129065000,정릉4동,1.13E+11,서울 성북구 보국문로11길 6,2709,다사567566,127.0096809,37.60847133
정릉아리랑시장,서울성북구,서울,성북구,성북구,1129063000,정릉2동,1.13E+11,서울 성북구 정릉로26가길 36,2814,다사568560,127.0110392,37.60276767
마천시장,서울송파구,서울,송파구,송파구,1171055000,마천2동,1.17E+11,서울 송파구 마천로45길 23,5752,다사691443,127.1506963,37.49808049
마천중앙시장,서울송파구,서울,송파구,송파구,1171055000,마천2동,1.17E+11,서울 송파구 마천로51가길 23,5751,다사691444,127.1513355,37.4984143
방이시장,서울송파구,서울,송파구,송파구,1171056200,방이2동,1.17E+11,서울 송파구 가락로 243,5643,다사662456,127.1178662,37.50995241
새마을시장,서울송파구,서울,송파구,송파구,1171065000,잠실본동,1.17E+11,서울 송파구 백제고분로15길 42,5559,다사633456,127.0849001,37.50908943
석촌시장,서울송파구,서울,송파구,송파구,1171060000,석촌동,1.17E+11,서울 송파구 송파대로37길 52,5696,다사652446,127.1065252,37.50017287
풍납시장,서울송파구,서울,송파구,송파구,1171051000,풍납1동,1.17E+11,서울 송파구 바람드리길 34,5518,다사663487,127.1194927,37.53756487
경창시장,서울양천구,서울,양천구,양천구,1147057000,신월2동,1.15E+11,서울 양천구 오목로9길 31,7931,다사418474,126.8421214,37.52493416
목2동시장,서울양천구,서울,양천구,양천구,1147052000,목2동,1.15E+11,서울 양천구 목동중앙북로16길 3,7971,다사446498,126.8738866,37.5460499
