시장명,지자체,시도명,시군구명,행정동코드,행정동명,위치경도,위치위도,인구수,시군구시장수,시군구상점수,시설인구수,시장유형명,시장운영기간,화장실존재여부,주차장존재여부
남성역골목시장,서울동작구,서울,동작구,1159065000,사당4동,126.9723103,37.48297832,363808,8,529,687,상설장,매일,N,Y
본동인정시장,서울동작구,서울,동작구,1159051000,노량진1동,126.9518967,37.51223042,363808,8,529,687,상설장,매일,N,N
사당시장,서울동작구,서울,동작구,1159065000,사당4동,126.9753375,37.48288276,363808,8,529,687,상설장,매일,Y,Y
상도전통시장,서울동작구,서울,동작구,1159053000,상도1동,126.951537,37.49967693,363808,8,529,687,상설장,매일,Y,Y
성대시장,서울동작구,서울,동작구,1159055000,상도3동,126.9317763,37.4999427,363808,8,529,687,상설장,매일,Y,Y
성대전통시장,서울동작구,서울,동작구,1159055000,상도3동,126.9308567,37.49921775,363808,8,529,687,상설장,매일,Y,Y
공덕시장,서울마포구,서울,마포구,1144056500,공덕동,126.9532582,37.54479479,344331,9,803,428,상설장,매일,Y,N
동진시장,서울마포구,서울,마포구,1144071000,연남동,126.9267634,37.56237655,344331,9,803,428,상설장,매일,Y,N
마포농수산물시장,서울마포구,서울,마포구,1144073000,성산2동,126.8984828,37.56519935,344331,9,803,428,상설장,매일,Y,Y
마포시장,서울마포구,서울,마포구,1144056500,공덕동,126.9533186,37.54539208,344331,9,803,428,상설장,매일,Y,N
망원동월드컵시장,서울마포구,서울,마포구,1144070000,망원2동,126.9050809,37.55873145,344331,9,803,428,상설장,매일,Y,N
망원시장,서울마포구,서울,마포구,1144069000,망원1동,126.9059941,37.55715742,344331,9,803,428,상설장,매일,Y,Y
서교시장,서울마포구,서울,마포구,1144066000,서교동,126.9217154,37.55351606,344331,9,803,428,상설장,매일,Y,Y
아현시장,서울마포구,서울,마포구,1144055500,아현동,126.9550808,37.55640684,344331,9,803,428,상설장,매일,Y,N
영진시장,서울마포구,서울,마포구,1144066000,서교동,126.9126921,37.55346487,344331,9,803,428,상설장,매일,Y,Y
백련시장,서울서대문구,서울,서대문구,1141070000,남가좌2동,126.923101,37.57700143,303136,6,544,557,상설장,매일,Y,Y
연희사러가,서울서대문구,서울,서대문구,1141061500,연희동,126.9296612,37.56715459,303136,6,544,557,상설장,매일,Y,Y
영천시장,서울서대문구,서울,서대문구,1141052000,천연동,126.9618663,37.57034953,303136,6,544,557,상설장,매일,Y,N
유진상가,서울서대문구,서울,서대문구,1141064000,홍제3동,126.9430423,37.59163153,303136,6,544,557,상설장,매일,Y,Y
인왕시장,서울서대문구,서울,서대문구,1141064000,홍제3동,126.9433194,37.59121811,303136,6,544,557,상설장,매일,Y,Y
남부종합시장,서울서초구,서울,서초구,1165059000,방배본동,126.9848056,37.49499219,361167,2,165,2188,상설장,매일,Y,Y
양재시장,서울서초구,서울,서초구,1165065100,양재1동,127.037966,37.48431085,361167,2,165,2188,상설장,매일,Y,N
금남시장,서울성동구,서울,성동구,1120061500,금호2.3가동,127.0230332,37.54862725,271897,4,2312,117,상설장,매일,Y,Y
뚝도시장,서울성동구,서울,성동구,1120067000,성수2가1동,127.054827,37.53780064,271897,4,2312,117,상설장,매일,Y,Y
마장축산물시장,서울성동구,서울,성동구,1120054000,마장동,127.0412753,37.57068248,271897,4,2312,117,상설장,매일,Y,Y
용답상가시장,서울성동구,서울,성동구,1120079000,용답동,127.0525388,37.56416885,271897,4,2312,117,상설장,매일,Y,Y
길음시장,서울성북구,서울,성북구,1129066000,길음1동,127.021592,37.60278063,399535,6,574,696,상설장,매일,Y,Y
돈암시장,서울성북구,서울,성북구,1129055500,삼선동,127.0157124,37.5916663,399535,6,574,696,상설장,매일,Y,N
