사업명,지원연도,시장명,지원금액(단위_백만원),지자체
첫걸음기반조성,2023,고흥전통시장,153.0,전남고흥군
문화관광형시장,2023,곡성기차마을전통시장,210.0,전남곡성군
문화관광형시장,2014,골드테마거리,1520.0,부산부산진구
문화관광형시장,2022,공릉동도깨비시장,230.0,서울노원구
첫걸음기반조성,2021,공릉동도깨비시장,140.0,서울노원구
첫걸음기반조성,2021,관고전통시장,112.0,경기이천시
문화관광형시장,2023,관악신사시장,252.0,서울관악구
첫걸음기반조성,2020,관악신사시장,140.0,서울관악구
문화관광형시장,2022,광양5일시장,184.0,전남광양시
문화관광형시장,2016,광양5일시장,1540.0,전남광양시
첫걸음기반조성,2021,자동차의거리,168.0,광주북구
문화관광형시장,2015,광천전통시장,1560.0,충남홍성군
문화관광형시장,2022,광탄시장,184.0,경기파주시
문화관광형시장,2023,괴산전통시장,220.0,충북괴산군
문화관광형시장,2019,괴정골목시장,460.0,부산사하구
문화관광형시장,2021,괴정골목시장,276.0,부산사하구
문화관광형시장,2022,괴정골목시장,240.0,부산사하구
첫걸음기반조성,2018,괴정골목시장,270.0,부산사하구
문화관광형시장,2021,구로시장,225.0,서울구로구
문화관광형시장,2023,구룡포시장,252.0,경북포항시
첫걸음기반조성,2021,구룡포시장,140.0,경북포항시
문화관광형시장,2014,구미새마을중앙시장,1620.0,경북구미시
첫걸음기반조성,2020,구월도매전통시장,135.0,인천남동구
문화관광형시장,2022,구월시장,276.0,인천남동구
문화관광형시장,2018,군산공설시장,860.0,전북군산시
청년몰활성화,2018,군산공설시장,150.0,전북군산시
첫걸음기반조성,2023,군포역전시장,127.5,경기군포시
첫걸음기반조성,2018,세종대평시장,270.0,세종세종시
첫걸음기반조성,2020,금남시장,140.0,서울성동구
문화관광형시장,2022,금남지하도상가,264.0,광주동구
첫걸음기반조성,2019,금남지하도상가,280.0,광주동구
첫걸음기반조성,2020,금남지하도상가,168.0,광주동구
문화관광형시장,2021,금남지하도상가,270.0,광주동구
청년몰활성화,2022,금산금빛시장(금산시장),250.0,충남금산군
문화관광형시장,2021,금산금빛시장(금산시장),176.0,충남금산군
문화관광형시장,2022,금산금빛시장(금산시장),152.0,충남금산군
청년몰활성화,2018,금산금빛시장(금산시장),150.0,충남금산군
문화관광형시장,2022,기장시장,220.0,부산기장군
문화관광형시장,2017,기장시장,1600.0,부산기장군
문화관광형시장,2023,길동복조리시장,264.0,서울강동구
청년몰활성화,2022,김제전통시장,200.0,전북김제시
문화관광형시장,2021,김제전통시장,220.0,전북김제시
문화관광형시장,2022,김제전통시장,200.0,전북김제시
첫걸음기반조성,2018,김제전통시장,270.0,전북김제시
청년몰활성화,2021,김제전통시장,150.0,전북김제시
문화관광형시장,2021,평화시장,184.0,경북김천시
문화관광형시장,2022,평화시장,160.0,경북김천시
문화관광형시장,2017,김해전통시장(김해동상시장),1600.0,경남김해시
문화관광형시장,2021,삼방시장,235.0,경남김해시
문화관광형시장,2021,나주목사고을시장,235.0,전남나주시
문화관광형시장,2019,남광주시장,460.0,광주동구
문화관광형시장,2021,남광주시장,276.0,광주동구
문화관광형시장,2022,남광주시장,228.0,광주동구
첫걸음기반조성,2018,남광주시장,270.0,광주동구
첫걸음기반조성,2022,남광주해뜨는시장,162.0,광주동구
문화관광형시장,2015,남구로시장,1540.0,서울구로구
문화관광형시장,2021,남목전통시장,225.0,울산동구
첫걸음기반조성,2019,남목전통시장,280.0,울산동구
디지털전통시장,2022,남문시장,75.0,서울금천구
문화관광형시장,2018,남문시장,860.0,서울금천구
문화관광형시장,2017,남성시장,1540.0,서울동작구
문화관광형시장,2021,남성시장,225.0,서울동작구
첫걸음기반조성,2023,남성역골목시장,153.0,서울동작구
