사업명,지원연도,시장명,지원금액(단위_백만원),지자체,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,행정동명_x,위치위도_x,위치경도_x,상점수_x,가맹점수,가맹률,Unnamed: 0,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,배송서비스,장보기서비스,시도,시군구,청년몰점포수,행정동명_y,시장유형명,상점수_y,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도_y,위치경도_y,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
첫걸음기반조성,2022,사기막골도자기시장,108.0,경기이천시,13661.0,51.0,3.0,0.0,0.0,51.0,0.0,0.0,51.0,,,,,,,694.0,법적단체,53.0,56.0,0.946428571,1.0,1.0,,,,관고동,상설장,56.0,매일,근린생활서비스업,Y,Y,37.29482311,127.4119793,3.0,252.0,176691.0,701.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,70.0,1.0,1.0,2.0,2.0
청년몰활성화,2022,정선사북시장,200.0,강원정선군,4916.0,53.0,7.0,0.0,0.0,53.0,26.0,0.0,79.0,사북읍,37.22736185,128.8162173,69.0,60.0,86.95652174,751.0,법적단체,61.0,69.0,0.884057971,1.0,1.0,,,,사북읍,상설장,69.0,매일,"농산물,기타소매업",Y,Y,37.22736185,128.8162173,4.0,392.0,27092.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2018,정선사북시장,860.0,강원정선군,4916.0,53.0,7.0,0.0,0.0,53.0,26.0,0.0,79.0,사북읍,37.22736185,128.8162173,69.0,60.0,86.95652174,751.0,법적단체,61.0,69.0,0.884057971,1.0,1.0,,,,사북읍,상설장,69.0,매일,"농산물,기타소매업",Y,Y,37.22736185,128.8162173,4.0,392.0,27092.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
청년몰활성화,2021,정선사북시장,120.0,강원정선군,4916.0,53.0,7.0,0.0,0.0,53.0,26.0,0.0,79.0,사북읍,37.22736185,128.8162173,69.0,60.0,86.95652174,751.0,법적단체,61.0,69.0,0.884057971,1.0,1.0,,,,사북읍,상설장,69.0,매일,"농산물,기타소매업",Y,Y,37.22736185,128.8162173,4.0,392.0,27092.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2022,사직시장,162.0,부산동래구,12999.0,107.0,33.0,0.0,30.0,107.0,0.0,30.0,137.0,사직1동,35.20005591,129.0623187,140.0,88.0,62.85714286,223.0,법적단체,10.0,140.0,0.071428571,1.0,1.0,,,,사직1동,상설장,140.0,매일,"농산물,축산물,수산물,가공식품,음식점업",Y,N,35.20005591,129.0623187,10.0,1213.0,217372.0,179.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
문화관광형시장,2019,청주사창시장,440.0,충북청주시,5109.0,94.0,2.0,0.0,9.0,94.0,4.0,0.0,98.0,사창동,36.63360862,127.4652976,87.0,98.0,112.6436782,814.0,법적단체,85.0,87.0,0.977011494,1.0,1.0,,,,사창동,상설장,87.0,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,36.63360862,127.4652976,4.0,317.0,170426.0,537.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2022,사천읍시장,135.0,경남사천시,3263.0,106.0,6.0,6.0,20.0,106.0,55.0,20.0,181.0,사천읍,35.08405911,128.0890111,115.0,68.0,59.13043478,1181.0,법적단체,106.0,115.0,0.92173913,1.0,1.0,,,,사천읍,상설장,115.0,매일,"농산물,축산물,수산물,의류/신발,기타소매업",Y,Y,35.08405911,128.0890111,7.0,933.0,84594.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0
청년몰활성화,2018,산격종합시장,150.0,대구북구,5760.0,55.0,245.0,0.0,12.0,55.0,6.0,12.0,73.0,산격3동,35.89863699,128.6103517,300.0,31.0,10.33333333,407.0,법적단체,95.0,300.0,0.316666667,1.0,1.0,대구,북구,10.0,산격3동,상설장,300.0,매일,"농산물,수산물,의류/신발,기타소매업",Y,N,35.89863699,128.6103517,21.0,4902.0,367218.0,74.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,2.0,2.0
문화관광형시장,2019,산본시장,460.0,경기군포시,2627.0,192.0,10.0,1.0,8.0,192.0,463.0,8.0,663.0,,,,,,,595.0,법적단체,143.0,203.0,0.704433498,0.0,1.0,,,,산본1동,상설장,203.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.37013243,126.9385002,2.0,259.0,237225.0,915.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
문화관광형시장,2021,산본시장,184.0,경기군포시,2627.0,192.0,10.0,1.0,8.0,192.0,463.0,8.0,663.0,,,,,,,595.0,법적단체,143.0,203.0,0.704433498,0.0,1.0,,,,산본1동,상설장,203.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.37013243,126.9385002,2.0,259.0,237225.0,915.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
문화관광형시장,2022,산본시장,180.0,경기군포시,2627.0,192.0,10.0,1.0,8.0,192.0,463.0,8.0,663.0,,,,,,,595.0,법적단체,143.0,203.0,0.704433498,0.0,1.0,,,,산본1동,상설장,203.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.37013243,126.9385002,2.0,259.0,237225.0,915.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2018,산본시장,270.0,경기군포시,2627.0,192.0,10.0,1.0,8.0,192.0,463.0,8.0,663.0,,,,,,,595.0,법적단체,143.0,203.0,0.704433498,0.0,1.0,,,,산본1동,상설장,203.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,37.37013243,126.9385002,2.0,259.0,237225.0,915.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2019,삼례시장,260.0,강원태백시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년몰활성화,2020,삼례시장,150.0,전북완주군,5195.0,50.0,10.0,0.0,10.0,50.0,0.0,10.0,60.0,삼례읍,35.91050259,127.0736728,60.0,67.0,111.6666667,904.0,법적단체,60.0,60.0,1.0,1.0,1.0,전북,완주군,9.0,삼례읍,상설장,60.0,매일,"농산물,가공식품,의류/신발,음식점업,기타소매업",Y,Y,35.91050259,127.0736728,3.0,125.0,70719.0,565.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,2.0,1.0
문화관광형시장,2018,삼방시장,860.0,경남김해시,1883.0,69.0,1.0,0.0,0.0,69.0,68.0,0.0,137.0,,,,,,,1166.0,법적단체,67.0,70.0,0.957142857,1.0,1.0,,,,삼안동,상설장,70.0,매일,"농산물,축산물,수산물,가공식품,의류/신발",Y,Y,35.2501984,128.9090364,6.0,558.0,472778.0,847.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,2.0
첫걸음기반조성,2020,삼익패션타운,150.0,서울중구,2438.0,980.0,128.0,0.0,0.0,980.0,76.0,0.0,1056.0,회현동,37.56043529,126.9789566,1062.0,224.0,21.09227872,167.0,법적단체,527.0,1062.0,0.496233522,1.0,1.0,,,,회현동,상설장,1062.0,매일,"의류/신발,가정용품,근린생활서비스",Y,Y,37.56043529,126.9789566,25.0,21486.0,138972.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
문화관광형시장,2022,삼척중앙시장,230.0,강원삼척시,11637.0,192.0,51.0,0.0,11.0,192.0,94.0,11.0,297.0,남양동,37.44210346,129.1646216,261.0,146.0,55.93869732,732.0,법적단체,239.0,261.0,0.915708812,1.0,1.0,강원,삼척시,19.0,남양동,상설장+5일장,261.0,2일+7일,"농산물,수산물,의류/신발",Y,Y,37.44210346,129.1646216,4.0,373.0,44716.0,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0
청년몰활성화,2022,삼척중앙시장,100.0,강원삼척시,11637.0,192.0,51.0,0.0,11.0,192.0,94.0,11.0,297.0,남양동,37.44210346,129.1646216,261.0,146.0,55.93869732,732.0,법적단체,239.0,261.0,0.915708812,1.0,1.0,강원,삼척시,19.0,남양동,상설장+5일장,261.0,2일+7일,"농산물,수산물,의류/신발",Y,Y,37.44210346,129.1646216,4.0,373.0,44716.0,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0
