사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
청년몰활성화,김해전통시장(김해동상시장),경남김해시,동상동,2971,16,359,4.0,13,2.0,621928.0,3.0,46,2823,0,4.7,13
문화관광형시장,남해전통시장,경남남해군,남해읍,4408,14,218,3.0,3,0.0,58632.0,0.0,16,3742,1,0.6,5
청년몰활성화,양산남부시장,경남양산시,중앙동,4172,37,123,10.0,7,1.0,416006.0,4.0,87,2898,0,4.1,5
문화관광형시장,의령시장,경남의령군,의령읍,3087,32,243,3.0,9,0.0,37112.0,0.0,30,2515,0,0.6,5
문화관광형시장,자유시장,경남진주시,상대동,6204,10,177,10.0,1,0.0,440093.0,3.0,53,6110,0,2.8,6
문화관광형시장,가음정시장,경남창원시,가음정동,7498,0,68,11.0,12,0.0,1229670.0,11.0,85,14640,0,3.7,8
문화관광형시장,창원도계부부시장,경남창원시,명곡동,10699,0,37,11.0,22,0.0,1229670.0,2.0,36,13096,0,3.7,1
문화관광형시장,마산어시장,경남창원시,오동동,7204,0,60,11.0,7,3.0,1229670.0,7.0,52,4968,0,3.7,8
문화관광형시장,명서시장,경남창원시,명곡동,10699,0,75,11.0,21,0.0,1229670.0,3.0,36,13096,0,3.7,6
문화관광형시장,봉곡민속체험시장(봉곡시장),경남창원시,봉림동,8737,0,74,11.0,15,1.0,1229670.0,8.0,49,10662,0,3.7,5
문화관광형시장,상남시장,경남창원시,상남동,5334,0,87,11.0,10,4.0,1229670.0,15.0,68,9908,0,3.7,25
문화관광형시장,성원그랜드쇼핑상가,경남창원시,상남동,5334,0,90,11.0,10,1.0,1229670.0,15.0,75,9908,0,3.7,5
문화관광형시장,반송시장,경남창원시,반송동,8613,0,49,11.0,7,0.0,1229670.0,15.0,38,13952,2,3.7,4
문화관광형시장,북신전통시장,경남통영시,북신동,3846,12,335,2.0,3,1.0,161387.0,3.0,44,2574,0,3.2,15
