사업명,지원연도,시장명,지원금액(단위_백만원),지자체,배송서비스,장보기서비스,행정동명,시장유형명,상점수,시장운영기간,추가설명,화장실존재여부,주차장존재여부,위치위도,위치경도,시군구시장수,시군구상점수,인구수,시설인구수,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만),시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,청년몰점포수,상인회 조직형태,상인회 가입점포 수 - 점포수,점포수,상인회_가입률,가맹점수,가맹률
첫걸음기반조성,2018,강진중앙로상가,270.0,전남강진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100.0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,120.0,,,,,,,
첫걸음기반조성,2019,개항누리길상점가,270.0,충남홍성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,3007.0,153.0,0.0,7.0,5.0,153.0,215.0,5.0,373.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,9500.0,72.0,8.0,7.0,0.0,72.0,30.0,0.0,102.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,2.0,2.0,3007.0,153.0,0.0,7.0,5.0,153.0,215.0,5.0,373.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,2.0,2.0,9500.0,72.0,8.0,7.0,0.0,72.0,30.0,0.0,102.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,3007.0,153.0,0.0,7.0,5.0,153.0,215.0,5.0,373.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,9500.0,72.0,8.0,7.0,0.0,72.0,30.0,0.0,102.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,2.0,2.0,3007.0,153.0,0.0,7.0,5.0,153.0,215.0,5.0,373.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
청년몰활성화,2018,신포시장,150.0,인천중구,1.0,1.0,신포동,상설장,151.0,매일,"농산물,축산물,가공식품",Y,Y,37.47146219,126.627812,3.0,722.0,123617.0,171.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,2.0,2.0,9500.0,72.0,8.0,7.0,0.0,72.0,30.0,0.0,102.0,4.0,법적단체,139.0,151.0,0.9205298013245032,203.0,134.43708609271522
